商品名称,商品价格,店铺名称,商品评论量,发货地,商品链接,店铺链接,图片链接
老秀馆 手工刺绣双面绣如意方框摆件中式客厅玄关装饰摆件中国风礼物送老外纪念品 竹子熊猫,￥599.00,老秀馆官方旗舰店,0,四川,https://item.jd.com/10039935818627.html,https://mall.jd.com/index-10051377.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/31197/11/18714/121716/636c5d06Efe1f2d9b/4aaa323adb5c0d68.jpg
轩舞艺 刺绣双面绣摆件熊猫成都特色手工艺双面绣鸡翅木国宝会议商务外事礼品摆件苏绣摆件 梅花双熊猫,￥888.00,轩舞艺旗舰店,5,四川,https://item.jd.com/46587840738.html,https://mall.jd.com/index-927862.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/211896/5/21367/117681/63296c44E74d51fb9/8be136dc8de85bfe.jpg
西萤 蜀锦摆件四川成都熊猫太阳神鸟纪念品中国风特色礼品送老外 和谐熊猫小,￥108.00,正艺家居专营店,4,四川,https://item.jd.com/10063679144048.html,https://mall.jd.com/index-12356849.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/209277/21/27243/94160/63539cb9E89f10f57/6eceb81ce8dd4c8c.jpg
蘇宏 苏绣湘绣桌面落地摆件红木台屏会客中国风苏州特色手工艺品 蟠天际地,￥380.00,蘇宏官方旗舰店,500+,四川,https://item.jd.com/28197184951.html,https://mall.jd.com/index-745744.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/132600/37/15974/95876/60aefb8bE6f05792e/9d29ee495608fe1b.jpg
老秀馆 手工刺绣双面绣客厅玄关办公室装饰摆件工艺品搬家乔迁升职礼物中国风特色礼品圣诞节礼物送老外 福气满满（成都发货）,￥298.00,老秀馆官方旗舰店,200+,四川,https://item.jd.com/10057078819997.html,https://mall.jd.com/index-10051377.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/167649/4/25907/118788/62de4d13E2cc2c6d5/26b8573d086ddf1b.jpg
安靖之乡 萌萌熊猫系列小型家居装饰摆件 送孩子生日礼物 非遗纯手工双面刺绣小礼品伴手礼 款式7,￥165.00,安靖蜀绣之乡旗舰店,5,四川,https://item.jd.com/10037152267703.html,https://mall.jd.com/index-10111120.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/208122/19/18841/345489/6225b3c3E3f48ee7e/21637e5f95c92461.jpg
安靖之乡 非遗熊猫图案礼品小摆件 纯手工刺绣书房书桌装饰品 中式伴手礼工艺品送老外 树干熊猫,￥165.00,安靖蜀绣之乡旗舰店,29,四川,https://item.jd.com/58592406835.html,https://mall.jd.com/index-10111120.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/54752/4/12793/260439/5d9c3e99E366a5e18/d51bb2fb3ac3d3ba.jpg
法漫玫罗诗玛诺礼品  四川特色手工刺绣卷轴熊猫挂件吉祥三宝熊猫卷轴送老外纪念品 吉祥三宝  吉祥三宝,￥2878.00,萱陌礼品鲜花专营店,0,四川,https://item.jd.com/10062962865512.html,https://mall.jd.com/index-10386907.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/144459/23/29983/171376/62f3817eE8c798699/792e8e14cb80151d.jpg
摆件中国风特色苏绣搬家礼物乔迁屏风摆件苏绣摆件成品双面绣桌面摆台古典中式小台屏刺绣屏风 款式1,￥1323.79,美姬家居旗舰店,1,四川,https://item.jd.com/10044568274104.html,https://mall.jd.com/index-11771955.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/130433/24/21919/294083/620efd9cE5aed974b/e5c0dcca56b65a3c.jpg
陌上桑 手工刺绣双面绣装饰摆件中国风四川特色礼品送老外出国商务工艺纪念品乔迁礼物圣诞节礼物 檀木底座-舐犊情深（成都发货）,￥338.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10064449133468.html,https://mall.jd.com/index-197207.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/184245/2/24766/131789/62bfb9cbE5a1e0855/846ac8334d0ee07d.jpg
安靖之乡 非遗国潮刺绣夹克男女情侣装 手工刺绣潮牌印花棒球服时尚外套 娘（纯印花款）,￥224.25,安靖蜀绣之乡旗舰店,100+,四川,https://item.jd.com/10020385253569.html,https://mall.jd.com/index-10111120.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/101993/8/27/229713/5da5b291Eb56e8575/de9a63132b2d7d9e.jpg
安靖之乡 定制作品或特殊商品专用链接 定制或特殊商品专用,￥100.00,安靖蜀绣之乡旗舰店,5,四川,https://item.jd.com/10036010538602.html,https://mall.jd.com/index-10111120.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/147099/10/6996/1027488/5f47849dE17e6bd99/dd3984f2c2b82d59.jpg
安靖之乡 新中式客厅装饰画沙发背景墙走廊书房墙壁挂画纯手工刺绣收藏品 发顺丰 双鹊送喜图,￥19296.00,安靖蜀绣之乡旗舰店,0,四川,https://item.jd.com/10020936187218.html,https://mall.jd.com/index-10111120.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/128739/27/10893/394358/5f472e29Eab074fc0/e31bf43003fb7b3a.jpg
法漫玫罗诗玛诺 屏风熊猫刺绣摆件 出国送老外 苏绣屏风双面绣手工刺绣画台屏 广绣特色工艺品 外事 绿色,￥696.00,萱陌礼品鲜花专营店,0,四川,https://item.jd.com/10062963287210.html,https://mall.jd.com/index-10386907.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/187235/9/5195/113138/60ae1a45E7c4d061e/253b8ced53133b0a.jpg
倚楼听风成都屏风特色礼品台屏摆件刺绣苏绣画工艺品中国风外事礼品 年年有余,￥528.00,倚楼听风官方旗舰店,1,四川,https://item.jd.com/10062736645437.html,https://mall.jd.com/index-188733.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/199007/15/27233/161272/634635e6E99085133/1aa236cc1934bca7.jpg
安靖之乡 新中式客厅装饰画沙发背景墙走廊书房墙壁挂画纯手工刺绣收藏品 发顺丰 鹤顶红双鱼潜底图,￥19296.00,安靖蜀绣之乡旗舰店,0,四川,https://item.jd.com/10020936187222.html,https://mall.jd.com/index-10111120.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/138896/29/6810/208568/5f472e27E0f494748/89365e9cd89c26fa.jpg
依山锦绣 双面绣年年有余芙蓉鲤鱼摆件 四川成都特色旅游送老外纪念品 芙蓉鲤鱼,￥899.00,依山锦绣旗舰店,2,四川,https://item.jd.com/25464010948.html,https://mall.jd.com/index-754134.html?from=pc,https://img13.360buyimg.com/n7/jfs/t18019/37/421333046/326561/b068e588/5a73dc15Nffea9e2e.jpg
安靖之乡 非遗熊猫图案礼品小摆件 纯手工刺绣书房书桌装饰品 中式伴手礼工艺品送老外 红叶熊猫,￥165.00,安靖蜀绣之乡旗舰店,29,四川,https://item.jd.com/58592406836.html,https://mall.jd.com/index-10111120.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/62389/31/12267/253855/5d9c3e98E44eda6f7/c7c579d5766e47c4.jpg
安靖之乡 非遗中国风祥瑞锦鲤鱼装饰摆件 纯手工双面绣家居装饰工艺品 四川特色高档礼品礼盒装 玉兰锦鲤A,￥4485.00,安靖蜀绣之乡旗舰店,1,四川,https://item.jd.com/10037150469570.html,https://mall.jd.com/index-10111120.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/70381/36/17309/305420/6141b570Ebe7edc77/9e263f11e3839d50.jpg
苏绣绣架 实木绣凳绷架 刺绣架子 十字绣湘绣通用 绣花架 杋绷【60cm】,￥88.40,锋零家居日用官方旗舰店,0,四川,https://item.jd.com/10051352136369.html,https://mall.jd.com/index-10111824.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/85695/27/27410/60430/62736e23E2001b996/4a2ace634217622a.jpg
琉唐艺汇 蜀锦围巾 围巾外事礼品中国风特色四川成都蜀锦披肩刺绣 送老外纪念礼品 湖蓝开口笑,￥670.00,琉唐艺汇旗舰店,25,四川,https://item.jd.com/44274895757.html,https://mall.jd.com/index-876902.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/28114/15/13934/296368/5ca334bfEe1979b7b/b76259f1782ae491.jpg
琉唐艺汇  双面绣紫光檀木架摆件四川特色礼物送老外传统刺绣纪念品熊猫工艺双面绣屏风摆件 步步高升款,￥1380.00,琉唐艺汇旗舰店,36,四川,https://item.jd.com/38022567874.html,https://mall.jd.com/index-876902.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/34484/31/1346/221122/5cb19372Ebd2f3823/043965bba73bd349.jpg
琉唐艺汇  双面绣紫光檀木架摆件四川特色礼物送老外传统刺绣纪念品熊猫工艺双面绣屏风摆件 牡丹花款,￥1380.00,琉唐艺汇旗舰店,36,四川,https://item.jd.com/38022567886.html,https://mall.jd.com/index-876902.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/19630/29/15625/203375/5cb1937dEdd420565/ea5b40fe52426c2e.jpg
詩華歌迪  苏绣苏绣双面绣屏风摆件喜上眉梢手工刺绣工艺品湘绣广绣粤绣送老外客户朋友同事老师 喜上眉梢,￥519.00,顺致礼品专营店,96,四川,https://item.jd.com/49322985439.html,https://mall.jd.com/index-675919.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/34406/26/16525/203322/62be6fafE8917f42c/61a7d31c8f845bf2.jpg
依山锦绣 双面绣摆件家居饰品刻字个性定制送客户商务会议纪念礼品 彼岸花鹿,￥980.00,依山锦绣旗舰店,1,四川,https://item.jd.com/10025283691118.html,https://mall.jd.com/index-754134.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/142863/29/18936/241548/5fdb03a4E9c23f7f9/c493d802db60e443.jpg
轩舞艺 挂画手工刺绣家居客厅装饰带框挂画中国风特色礼物成都特产纪念品送老外礼物 蝶恋花 不带盒子,￥868.00,轩舞艺旗舰店,0,四川,https://item.jd.com/10065525084091.html,https://mall.jd.com/index-927862.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/207637/19/27741/94380/636f4365E93434d84/e52ac6323d267311.jpg
宏火阁礼品 中国特色礼物送老外成都特色工艺品屏风摆件商务婚礼出国礼品,￥4138.00,宏火阁礼品旗舰店,0,四川,https://item.jd.com/38268291515.html,https://mall.jd.com/index-900199.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/156104/34/18207/237636/605d877aEf6291326/aa3e4bf114e6bc7e.jpg
晨圈汇（chenquanhui） 檀木手工刺绣双面绣熊猫屏风摆件中国风特色礼物工艺品送老外 高瞻远瞩,￥888.00,晨圈汇旗舰店,6,四川,https://item.jd.com/40867472870.html,https://mall.jd.com/index-897704.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/132192/16/22753/154239/636b5e03E60279303/b6607a03ce55d32f.jpg
晨圈汇 苏绣台屏双面绣摆件比翼鸟鸳鸯喜上眉梢适合结婚礼物工艺品刺绣母亲节礼物送妈妈湘绣粤绣 寿桃仙鹤 双面绣,￥488.00,晨圈汇旗舰店,24,四川,https://item.jd.com/42635324470.html,https://mall.jd.com/index-897704.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/207985/7/25354/75628/63296e31E6ec19038/8c6db69b0a9203d6.jpg
依山锦绣   落地屏风非遗文化成都特色礼品蜀锦双面绣熊猫摆件 绣120238尺寸83*50厘米,￥8800.00,依山锦绣旗舰店,1,四川,https://item.jd.com/72073115698.html,https://mall.jd.com/index-754134.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/155277/37/10412/150122/5fdb0419E295fdf9d/8f0c6e15152595d5.jpg
晨圈汇（chenquanhui） 檀木手工刺绣双面绣熊猫屏风摆件中国风特色礼物工艺品送老外 节节高,￥988.00,晨圈汇旗舰店,6,四川,https://item.jd.com/40867472869.html,https://mall.jd.com/index-897704.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/210023/33/28508/126045/636b5df9Eae992f61/dba089f951b44770.jpg
润临鹤苏绣挂画刺绣双面绣特色出诞送老外礼物成都纪念品 戏蝶熊猫,￥586.04,国文家居专营店,0,四川,https://item.jd.com/10062204910759.html,https://mall.jd.com/index-11929955.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/106179/17/21021/142535/633dfc53E3c3510d9/fa06395d7bf4377b.jpg
陌上桑 手工刺绣双面绣装饰摆件中国风四川特色礼品送老外出国商务工艺纪念品乔迁礼物圣诞节礼物 檀木底座-友谊长存（成都发货）,￥338.00,齐力礼品专营店,1000+,四川,https://item.jd.com/10047067916743.html,https://mall.jd.com/index-197207.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/87846/39/31638/80065/6386ba50E697839f3/70bfb8507ec37f04.jpg
倚楼听风 广绣粤绣屏风事事如意手工刺绣双面绣画摆件一帆风顺外事礼品 浅灰色 ,￥480.00,倚楼听风官方旗舰店,8,四川,https://item.jd.com/10066379427363.html,https://mall.jd.com/index-188733.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/194969/7/30396/108528/638023a4E3c488f8f/ebaa1440dedb2635.jpg
依山锦绣   落地屏风非遗文化成都特色礼品蜀锦双面绣熊猫摆件 绣120338尺寸：83*50厘米,￥8800.00,依山锦绣旗舰店,1,四川,https://item.jd.com/72073115699.html,https://mall.jd.com/index-754134.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/137889/11/18897/146389/5fdb041aEdd390df1/677815e46cd76426.jpg
依山锦绣  成都特色蜀锦围巾中国风礼品四川特色礼品送老外爸爸妈妈生日礼物会议外事礼品 三八节礼物 米色牡丹,￥458.00,依山锦绣旗舰店,11,四川,https://item.jd.com/72108241784.html,https://mall.jd.com/index-754134.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/152203/21/10322/186861/5fdb0422Eede28fbf/2624076ed9b13e73.jpg
倚楼听风 广绣粤绣画台屏 手工苏绣双面绣小屏风摆件  苏州刺绣工艺品  外事礼品 竹子熊猫 1个,￥520.00,倚楼听风官方旗舰店,2,四川,https://item.jd.com/13155197033.html,https://mall.jd.com/index-188733.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/89350/4/32259/104787/636de07dE6cd0676f/0ab50e190855f356.jpg
琉唐艺汇（ltyh） 围巾手工刺绣围巾拼纱丝巾桑蚕丝披肩围巾四川礼品中国风外事出国送老外礼物 款四,￥1380.00,琉唐艺汇旗舰店,1,四川,https://item.jd.com/43081970640.html,https://mall.jd.com/index-876902.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/28580/6/11714/93467/5c91f8c8Ec7d9903e/4ae08f7d8c26c6b9.jpg
依山锦绣 熊猫双面绣摆台屏风同学会纪念礼品出国礼物 幽趣熊猫内圆20cm,￥980.00,依山锦绣旗舰店,0,四川,https://item.jd.com/25460948663.html,https://mall.jd.com/index-754134.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/215314/9/1808/242632/61764041Eaaa6f143/f7f28ab7ef2cd5bb.jpg
晨圈汇（chenquanhui）  双面刺绣屏风摆件新婚礼物情侣礼物成都旅游纪念品送老外摆件 松鹤延年-20cm紫光檀,￥688.00,晨圈汇旗舰店,5,四川,https://item.jd.com/10065086893752.html,https://mall.jd.com/index-897704.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/126202/20/28033/70140/6368a29cEc49a6985/8e442f50bd0f9996.jpg
依山锦绣   落地屏风非遗文化成都特色礼品蜀锦双面绣熊猫摆件 绣120138：尺寸83*50,￥8800.00,依山锦绣旗舰店,1,四川,https://item.jd.com/72073115697.html,https://mall.jd.com/index-754134.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/133239/7/20305/141183/5fdb0418E37741563/87e8f1a59acdb140.jpg
詩華歌迪 成都双面绣国宝熊猫手工刺绣熊猫屏风工艺品摆件商务礼品中国风送老外 成都·竹叶国宝,￥980.00,顺致礼品专营店,4,四川,https://item.jd.com/16336625067.html,https://mall.jd.com/index-675919.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/181494/4/25713/219930/62be748cE57a18ea4/bc7ec69e0ed29948.jpg
晨圈汇（chenquanhui）  双面刺绣屏风摆件新婚礼物情侣礼物成都旅游纪念品送老外摆件 旭日东升-20cm紫光檀,￥688.00,晨圈汇旗舰店,5,四川,https://item.jd.com/10065086893750.html,https://mall.jd.com/index-897704.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/177032/6/30241/67623/6368a299Edba6dae7/f468a17a57bb95ec.jpg
恒愎  蜀 刺绣如意实木架川绣手工双面绣送友人外国人刺绣成都纪念礼品 竹林熊猫,￥485.10,特用家居专营店,0,四川,https://item.jd.com/10065992354648.html,https://mall.jd.com/index-12365038.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/174236/28/31976/90894/6379c8bdE3d971b74/ad32ab19b0e0f81e.jpg
安靖之乡 四川方言熊猫双面绣工艺礼品 非遗纯手工刺绣家居装饰摆件 成都特色伴手礼送老外 耍朋友 5寸,￥165.00,安靖蜀绣之乡旗舰店,8,四川,https://item.jd.com/10031998697960.html,https://mall.jd.com/index-10111120.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/192343/31/6470/149184/60b9e495E33325b47/4502fb376af87622.png
晨圈汇（chenquanhui）  双面刺绣屏风摆件新婚礼物情侣礼物成都旅游纪念品送老外摆件 孔雀牡丹-20cm紫光檀,￥688.00,晨圈汇旗舰店,5,四川,https://item.jd.com/10065086893755.html,https://mall.jd.com/index-897704.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/135457/14/28050/73876/6368a2a5Ee3836260/aad961dbd70c37c2.jpg
蜀锦四川成都特色工艺礼品装饰蜀锦卷轴挂画送老外 松鹤延年,￥1818.00,KDJSU旗舰店,2,四川,https://item.jd.com/10042523541883.html,https://mall.jd.com/index-11588829.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/118063/6/25639/176621/61c15b9cEe6756235/20da46f37370363a.jpg
玺山 苏绣带框成品客厅装饰画刺绣仿手工四联挂画大气装饰画实木带框成品挂画 带框四联40*100cm,￥3960.00,榕铭家居日用专营店,1,四川,https://item.jd.com/10062185302176.html,https://mall.jd.com/index-10081060.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/162458/15/31090/64931/633d81abEd1bb6da7/1b1759aa1f1e054a.jpg
晨圈汇（chenquanhui）  双面刺绣屏风摆件新婚礼物情侣礼物成都旅游纪念品送老外摆件 年年有余-20cm紫光檀,￥688.00,晨圈汇旗舰店,5,四川,https://item.jd.com/10065086893754.html,https://mall.jd.com/index-897704.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/179809/26/29098/60619/6368a2a0Ebf9a9f7c/8aa5df70a0713e62.jpg
恒愎  蜀 刺绣如意实木架川绣手工双面绣送友人外国人刺绣成都纪念礼品 竹林熊猫,￥485.10,特用家居专营店,0,四川,https://item.jd.com/10065992354648.html,https://mall.jd.com/index-12365038.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/174236/28/31976/90894/6379c8bdE3d971b74/ad32ab19b0e0f81e.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 江南水乡,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744981.html,https://mall.jd.com/index-10073052.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/102127/17/14016/127540/5e5f4ecfE5778a93c/ab44ed7a55976291.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 松鹤延年,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744987.html,https://mall.jd.com/index-10073052.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/88302/29/14114/117554/5e5f4ed1E90661cea/e323705e117fd10e.jpg
晨圈汇 摆件送老外中国特色礼品刺绣双面绣摆件工艺品四川成都熊猫纪念品苏绣湘绣 枫叶母子熊猫,￥1088.00,晨圈汇旗舰店,2,四川,https://item.jd.com/10059909288530.html,https://mall.jd.com/index-897704.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/193692/9/29863/134172/6368b554E9b6ad40f/89eed6d78189e93d.jpg
晨圈汇（chenquanhui）  双面刺绣屏风摆件新婚礼物情侣礼物成都旅游纪念品送老外摆件 秋之恋熊猫-20cm紫光檀,￥688.00,晨圈汇旗舰店,5,四川,https://item.jd.com/10065086893741.html,https://mall.jd.com/index-897704.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/180286/6/27683/60974/6368a282Eabb111d3/a6f75185063a3cc4.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 清明上河图,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744985.html,https://mall.jd.com/index-10073052.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/91791/36/13934/156414/5e5f4ed0E3429c3b3/e6e19ad41e6c575f.jpg
 手工刺绣 湘绣 双面绣特色礼品湘绣手工苏州刺绣花成品蚕丝双面台屏风出国特色结婚定制 玉兰花鸟,￥279.89,网文网闻居家日用专营店,0,四川,https://item.jd.com/10055972007629.html,https://mall.jd.com/index-11818197.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/208435/2/28640/129949/638daa5eE29659d54/4006b188ad92f94f.jpg
晨圈汇（chenquanhui）  双面刺绣屏风摆件新婚礼物情侣礼物成都旅游纪念品送老外摆件 鸳鸯戏水-20cm紫光檀,￥688.00,晨圈汇旗舰店,5,四川,https://item.jd.com/10065086893756.html,https://mall.jd.com/index-897704.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/37083/9/20433/66483/6368a2aaEa211e4f9/236f674a2f522fc1.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 花开富贵,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744980.html,https://mall.jd.com/index-10073052.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/108292/10/7631/137611/5e5f4ecfE42cb671c/53fd4a397088237f.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 喜上眉梢,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744989.html,https://mall.jd.com/index-10073052.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/87668/32/13799/115665/5e5f4ed1Ea282cf63/3e8b2bec2c453f34.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 孔雀牡丹,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744982.html,https://mall.jd.com/index-10073052.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/89456/22/13860/140074/5e5f4ed1E0b15ffe6/8963d9cb712338c2.jpg
蘇宏 苏绣湘绣桌面落地摆件红木台屏会客中国风苏州特色手工艺品 鸳鸯戏水,￥380.00,蘇宏官方旗舰店,500+,四川,https://item.jd.com/27484213710.html,https://mall.jd.com/index-745744.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/205102/35/2102/297002/611f2a35E81af9134/74db12a5c0e5541e.jpg
成都特色伴手礼手工刺绣熊猫摆件中国风礼品送老外蜀锦 友谊【锦盒包装】,￥124.73,恒琴家居专营店,0,四川,https://item.jd.com/10060911397863.html,https://mall.jd.com/index-12286770.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/44043/35/19675/882368/62b81392E8ab6c92f/6addd348acfd3615.png
"	
摆件苏绣刺绣diy手工自绣团扇材料包绣品初学者摆件戳戳绣绣花自己绣 出水芙蓉【棉线材料包、A框】 平针绣",￥66.00,盛世繁华旗舰店,5,四川,https://item.jd.com/10035654687085.html,https://mall.jd.com/index-10238911.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/201091/5/2253/276651/611c7725E884a2db2/9f6c2d50c7e40f98.jpg
依山锦绣 熊猫双面绣摆台屏风同学会纪念礼品出国礼物 红梅熊猫内圆20cm,￥980.00,依山锦绣旗舰店,0,四川,https://item.jd.com/25460948658.html,https://mall.jd.com/index-754134.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/160645/36/22812/244218/6176403dE8ca41bc0/af840e52d876cf9c.jpg
东方美绣新款小件印花刺绣diy花卉图案绣品苏绣粤绣新手入门自己手工刺绣DIY艺术材料包 白茶【团扇+材料包】,￥39.90,东方美绣旗舰店,200+,四川,https://item.jd.com/10020395470188.html,https://mall.jd.com/index-36342.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/122158/31/9860/229528/5f366b86E91dbd887/7d6d562da525e6b0.jpg
倚楼听风 广绣粤绣屏风事事如意手工刺绣双面绣画摆件一帆风顺外事礼品 新款盖碗茶,￥480.00,倚楼听风官方旗舰店,8,四川,https://item.jd.com/10065804398633.html,https://mall.jd.com/index-188733.html?from=pc,https://img13.360buyimg.com/n7/jfs/t1/36159/21/19397/156323/6380239eE8dc017cf/7e69232b905830b3.jpg
琉唐艺汇  双面绣紫光檀木架摆件四川特色礼物送老外传统刺绣纪念品熊猫工艺双面绣屏风摆件 红叶熊猫款,￥1380.00,琉唐艺汇旗舰店,36,四川,https://item.jd.com/38022567875.html,https://mall.jd.com/index-876902.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/18240/27/15370/193750/5cb1938bE2f8a5c35/84a91e49545536c3.jpg
蜀 手工刺绣双面绣摆件风特色出诞送老外礼物成都纪念品 悠哉熊猫,￥586.04,川全家居专营店,0,四川,https://item.jd.com/10060454652387.html,https://mall.jd.com/index-12218050.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/104808/32/32841/107565/631fdc51E1970ac48/1620c3a5e369fd04.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 荣华富贵,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744986.html,https://mall.jd.com/index-10073052.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/91575/39/13808/127079/5e5f4ed1E88258600/afe18820c7efeff4.jpg
"	
摆件苏绣刺绣diy手工自绣团扇材料包绣品初学者摆件戳戳绣绣花自己绣 彼岸花开【棉线材料包、A框】 平针绣",￥66.00,盛世繁华旗舰店,5,四川,https://item.jd.com/10035654687086.html,https://mall.jd.com/index-10238911.html?from=pc,https://img11.360buyimg.com/n7/jfs/t1/187653/25/18955/258986/611c7726E97593a23/27140f4122538fd4.jpg
蜀锦四川成都特色工艺礼品装饰蜀锦卷轴挂画送老外 春风晓露,￥1616.00,KDJSU旗舰店,2,四川,https://item.jd.com/10042523541889.html,https://mall.jd.com/index-11588829.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/206204/11/19505/176460/61c15ba2E8c73e549/6971f175901d7f8d.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 红梅争春,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744995.html,https://mall.jd.com/index-10073052.html?from=pc,https://img10.360buyimg.com/n7/jfs/t1/107730/12/7805/129599/5e5f4ed3E520ade67/83bd8ac2120f7949.jpg
晨圈汇（chenquanhui）  双面刺绣屏风摆件新婚礼物情侣礼物成都旅游纪念品送老外摆件 梅花双熊猫-20cm鸡翅木,￥588.00,晨圈汇旗舰店,5,四川,https://item.jd.com/40713655824.html,https://mall.jd.com/index-897704.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/173337/27/31751/126563/6368a240E652ee691/c5b1426195d231cf.jpg
梵想蜀锦手工中国风礼品手工刺绣成品围巾中国特色礼物送老外的成都纪念品钜惠 奶白绣球花-双头绣花,￥292.00,梵想家居专营店,0,四川,https://item.jd.com/10058619971057.html,https://mall.jd.com/index-12260734.html?from=pc,https://img12.360buyimg.com/n7/jfs/t1/6242/15/21776/59861/62fcdf8dEb5492fc8/ed269c5c2cb117c6.jpg
摆件双面刺绣工艺品小屏风摆件 中国特色礼品送老外出国商务企业定制 小桥流水,￥288.00,少府礼品专营店,0,四川,https://item.jd.com/66061744994.html,https://mall.jd.com/index-10073052.html?from=pc,https://img14.360buyimg.com/n7/jfs/t1/90560/15/13899/143522/5e5f4ed3Eb43338b3/6c209e984e4b7c29.jpg
